id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
775369998,BIO_03_DIVES_20240320_130800.WAV,Bio_3,2024,3,20,13,11,Amazona albifrons,Simple Call,16.944,18.277333333333335,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029292,0.11287070216938001,56007
775369999,BIO_03_DIVES_20240320_130800.WAV,Bio_3,2024,3,20,13,12,Amazona albifrons,Simple Call,49.472,50.80533333333333,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029293,0.11840978961908936,56007
775370000,BIO_03_DIVES_20240320_121200.WAV,Bio_3,2024,3,20,12,12,Amazona albifrons,Simple Call,44.037333333333336,45.370666666666665,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029295,0.1170649574822816,56007
775370001,BIO_03_DIVES_20240320_121200.WAV,Bio_3,2024,3,20,12,14,Amazona albifrons,Simple Call,53.32266666666667,54.656,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029297,0.13855706435452705,56007
775370002,BIO_03_DIVES_20240320_121200.WAV,Bio_3,2024,3,20,12,15,Amazona albifrons,Simple Call,51.42933333333333,52.76266666666667,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029298,0.13888951025112925,56007
775370003,BIO_03_DIVES_20240320_121200.WAV,Bio_3,2024,3,20,12,16,Amazona albifrons,Simple Call,1.36,2.6933333333333334,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029299,0.17807147396042297,56007
775370004,BIO_03_DIVES_20240320_113700.WAV,Bio_3,2024,3,20,11,37,Amazona albifrons,Simple Call,51.10933333333333,52.44266666666667,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029307,0.18798053300567696,56007
775370005,BIO_03_DIVES_20240320_113700.WAV,Bio_3,2024,3,20,11,38,Amazona albifrons,Simple Call,46.928,48.26133333333333,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029308,0.1495595428536981,56007
775370006,BIO_03_DIVES_20240320_113700.WAV,Bio_3,2024,3,20,11,39,Amazona albifrons,Simple Call,18.794666666666668,20.128,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029309,0.12546971552274416,56007
775370007,BIO_03_DIVES_20240320_113700.WAV,Bio_3,2024,3,20,11,40,Amazona albifrons,Simple Call,55.40266666666667,56.736,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029310,0.11416881523032496,56007
775370008,BIO_03_DIVES_20240320_113700.WAV,Bio_3,2024,3,20,11,41,Amazona albifrons,Simple Call,47.01866666666667,48.352,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029311,0.12212110748838338,56007
775370009,BIO_03_DIVES_20240320_112300.WAV,Bio_3,2024,3,20,11,23,Amazona albifrons,Simple Call,55.568,56.90133333333333,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029323,0.18384172519099462,56007
775370010,BIO_03_DIVES_20240320_112300.WAV,Bio_3,2024,3,20,11,24,Amazona albifrons,Simple Call,8.762666666666666,10.096,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029324,0.10150109746758858,56007
775370011,BIO_03_DIVES_20240320_112300.WAV,Bio_3,2024,3,20,11,25,Amazona albifrons,Simple Call,40.693333333333335,42.026666666666664,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029325,0.14257627530903907,56007
775370012,BIO_03_DIVES_20240320_112300.WAV,Bio_3,2024,3,20,11,26,Amazona albifrons,Simple Call,13.301333333333334,14.634666666666666,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029326,0.13869147605148788,56007
775370013,BIO_03_DIVES_20240320_112300.WAV,Bio_3,2024,3,20,11,27,Amazona albifrons,Simple Call,26.533333333333335,27.866666666666667,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029327,0.14333697495230793,56007
775370014,BIO_03_DIVES_20240320_115100.WAV,Bio_3,2024,3,20,11,51,Amazona albifrons,Simple Call,52.00533333333333,53.33866666666667,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029330,0.12213976888917719,56007
775370015,BIO_03_DIVES_20240320_115100.WAV,Bio_3,2024,3,20,11,52,Amazona albifrons,Simple Call,12.394666666666666,13.728,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029331,0.14244243527560327,56007
775370016,BIO_03_DIVES_20240320_115100.WAV,Bio_3,2024,3,20,11,53,Amazona albifrons,Simple Call,31.941333333333333,33.27466666666667,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029332,0.15979248802042487,56007
775370017,BIO_03_DIVES_20240320_115100.WAV,Bio_3,2024,3,20,11,54,Amazona albifrons,Simple Call,28.565333333333335,29.898666666666667,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029333,0.15002490971963742,56007
775370018,BIO_03_DIVES_20240320_114400.WAV,Bio_3,2024,3,20,11,44,Amazona albifrons,Simple Call,46.768,48.101333333333336,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029335,0.12355024904231986,56007
775370019,BIO_03_DIVES_20240320_114400.WAV,Bio_3,2024,3,20,11,45,Amazona albifrons,Simple Call,35.89333333333333,37.22666666666667,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029336,0.145611161659931,56007
775370020,BIO_03_DIVES_20240320_114400.WAV,Bio_3,2024,3,20,11,46,Amazona albifrons,Simple Call,48.05866666666667,49.392,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029337,0.14933581380741687,56007
775370021,BIO_03_DIVES_20240320_114400.WAV,Bio_3,2024,3,20,11,47,Amazona albifrons,Simple Call,20.128,21.461333333333332,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029338,0.11700140987110484,56007
775370022,BIO_03_DIVES_20240320_114400.WAV,Bio_3,2024,3,20,11,48,Amazona albifrons,Simple Call,23.6,24.933333333333334,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029339,0.14038678030866192,56007
775370023,BIO_03_DIVES_20240320_113000.WAV,Bio_3,2024,3,20,11,30,Amazona albifrons,Simple Call,18.181333333333335,19.514666666666667,1031.25,23062.5,24000,not present,https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029341,0.20552287171350683,56007
775370024,BIO_03_DIVES_20240320_113000.WAV,Bio_3,2024,3,20,11,31,Amazona albifrons,Simple Call,49.36,50.693333333333335,1031.25,23062.5,24000,present,https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029342,0.2807795132568004,56007
775370025,BIO_03_DIVES_20240320_113000.WAV,Bio_3,2024,3,20,11,32,Amazona albifrons,Simple Call,12.453333333333333,13.786666666666667,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029343,0.1656467568326002,56007
775370026,BIO_03_DIVES_20240320_113000.WAV,Bio_3,2024,3,20,11,33,Amazona albifrons,Simple Call,29.27466666666667,30.608,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029344,0.15360632991310064,56007
775370027,BIO_03_DIVES_20240320_113000.WAV,Bio_3,2024,3,20,11,34,Amazona albifrons,Simple Call,5.205333333333333,6.538666666666667,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029345,0.15434458614248556,56007
775370028,BIO_03_DIVES_20240320_125400.WAV,Bio_3,2024,3,20,12,54,Amazona albifrons,Simple Call,14.432,15.765333333333333,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029358,0.1045740477877426,56007
775370029,BIO_03_DIVES_20240320_125400.WAV,Bio_3,2024,3,20,12,55,Amazona albifrons,Simple Call,58.45333333333333,59.78666666666667,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029359,0.13825896281552322,56007
775370030,BIO_03_DIVES_20240320_125400.WAV,Bio_3,2024,3,20,12,56,Amazona albifrons,Simple Call,2.448,3.7813333333333334,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029360,0.16032127400286725,56007
775370031,BIO_03_DIVES_20240320_125400.WAV,Bio_3,2024,3,20,12,57,Amazona albifrons,Simple Call,6.117333333333334,7.450666666666667,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029361,0.1144924586825484,56007
775370032,BIO_03_DIVES_20240320_125400.WAV,Bio_3,2024,3,20,12,58,Amazona albifrons,Simple Call,46.090666666666664,47.424,1031.25,23062.5,24000,not present,https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029362,0.22761154918098037,56007
775370033,BIO_03_DIVES_20240320_110900.WAV,Bio_3,2024,3,20,11,9,Amazona albifrons,Simple Call,13.898666666666667,15.232,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029374,0.14208893789995705,56007
775370034,BIO_03_DIVES_20240320_110900.WAV,Bio_3,2024,3,20,11,10,Amazona albifrons,Simple Call,43.49333333333333,44.82666666666667,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029375,0.15949441954641672,56007
775370035,BIO_03_DIVES_20240320_110900.WAV,Bio_3,2024,3,20,11,11,Amazona albifrons,Simple Call,48.26133333333333,49.59466666666667,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029376,0.19126180665825943,56007
775370036,BIO_03_DIVES_20240320_110900.WAV,Bio_3,2024,3,20,11,12,Amazona albifrons,Simple Call,52.352,53.68533333333333,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029377,0.156574881474013,56007
775370037,BIO_03_DIVES_20240320_110900.WAV,Bio_3,2024,3,20,11,13,Amazona albifrons,Simple Call,37.86666666666667,39.2,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029378,0.13139407612420242,56007
775370038,BIO_03_DIVES_20240320_110200.WAV,Bio_3,2024,3,20,11,2,Amazona albifrons,Simple Call,16.602666666666668,17.936,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029383,0.11990152341073099,56007
775370039,BIO_03_DIVES_20240320_110200.WAV,Bio_3,2024,3,20,11,4,Amazona albifrons,Simple Call,23.968,25.301333333333332,1031.25,23062.5,24000,(not validated),https://arbimon.org/legacy-api/project/birds-in-mexico/recordings/download/177029385,0.12961043241917442,56007
